category,text,university_ranking,years_of_experience
data scientist,"python, analysis, machine learning, data science, statistics maths",2,4
java engineer,"java , spring, spring boot, hibernate, j2ee, servlet, server, programming",1,2
lead engineer,"team playing, multi tasking, managing team, take care of product, scrum master, developer",2,4
java engineer,"java , spring, spring boot, hibernate, j2ee, servlet, server, programming",1,2
data scientist,"python, analysis, machine learning, data science, statistics maths",2,4
java engineer,"java , spring, spring boot, hibernate, j2ee, servlet, server, programming",1,2
data scientist,"python, analysis, machine learning, data science, statistics maths",2,4
Desinger,"image processing, photoshop, layout, ui, color, web site, html, css",1,2
Desinger,"media, user interaction, user experience, toning, easy access, user friendly",2,4
java engineer,"java , spring, spring boot, hibernate, j2ee, servlet, server, programming",1,2
data scientist,"python, analysis, machine learning, data science, statistics maths",2,4
CTO,"guideline, procedure, process, technical support, design, technical guideline, information technology",1,2
data scientist,"python, analysis, machine learning, data science, statistics maths",2,4
java engineer,"java , spring, spring boot, hibernate, j2ee, servlet, server, programming",1,2
data scientist,"python, analysis, machine learning, data science, statistics maths",2,4
java engineer,"java , spring, spring boot, hibernate, j2ee, servlet, server, programming",1,2
manager,"deployment, lead, communication, product demonstration, reasearch and development",2,4
manager,"documentation, product back log, api definition, design, client communication",1,2
data scientist,"python, analysis, machine learning, data science, statistics maths",2,4
java engineer,"java , spring, spring boot, hibernate, j2ee, servlet, server, programming",1,2
database engineer,"sql, query language, plsql, trigger, function, procedure, hierarchical database, nosql",2,4
senior database adminstrator,"oracle, myslq, redo log, backup, scaling, security, table, relation, plsql, memory manageement",1,2
data scientist,"python, analysis, machine learning, data science, statistics maths, ai data cluster",2,4
java engineer,"java , spring, spring boot, hibernate, j2ee, servlet, server, programming",1,2
Programmer,"coding, testing, debuging, database, ide, intellij, eclipse, python, java, php",2,4
programmer,"problem solving, algorithm implementation, enterprise solution, server side programming, database connectivity",1,2
data scientist,"python, analysis, machine learning, data science, statistics maths",2,4
java engineer,"java , spring, spring boot, hibernate, j2ee, servlet, server, programming",1,2
data scientist,"python, analysis, machine learning, data science, statistics maths",2,4
.Net developer,"asp.net, c#, dabase, IIS server, windows service, windows server, dll, asp pages",1,2
system engineer,"linux, deployment, scripting, installation, troubleshooting, connectivity, http connection",2,4
senior system engineer,"programming, email server set up, deployment pipeline, product version",1,2
data scientist,"python, analysis, machine learning, data science, statistics maths",2,4
java engineer,"java , spring, spring boot, hibernate, j2ee, servlet, server, programming",1,2
server side programmer,"http connection, api development, secure connection, microservice, thread count, http pooling",2,4
Server side developer,"tomcat, wildfly , load balancer, api integration, ui",1,2
